DateLabel;Tour;Tournament;Surface;Time;Player 1;Player 2;Rank 1;Rank 2;Rank Diff;Overall Elo Rank 1;Overall Elo Rank 2;Surface Elo Rank 1;Surface Elo Rank 2;Overall Elo 1;Overall Elo 2;Surface Elo 1;Surface Elo 2;Overall Elo Diff;Surface Elo Diff;Ranking Favorite;ELO Favorite;Has Elo 1;Has Elo 2;Both Have Elo
Day+1;ATP;San Diego 2 (USA);hard;00:30;Nishesh Basavareddy;Dylan Dietrich;167;409;242;109;219;113;282;1699.7;1552.4;1652.0;1445.1;147.3;206.9;Nishesh Basavareddy;Nishesh Basavareddy;True;True;True
Day+1;WTA;W50 Nanao (Japan);grass;03:00;Sakura Hosogi;Hiromi Abe;346;356;10;347;364;327;345;1399.7;1380.7;1374.8;1365.3;19.0;9.5;Sakura Hosogi;Sakura Hosogi;True;True;True
Day+1;WTA;Jingshan (China) - Qualification;hard;05:00;Priska Madelyn Nugroho;Yujia Huang;365;455;90;445;484;423;418;1307.9;1258.3;1295.4;1300.0;49.6;4.6;Priska Madelyn Nugroho;Yujia Huang;True;True;True
Day+1;WTA;Jingshan (China) - Qualification;hard;05:00;Amelia Rajecki;Chengyiyi Yuan;392;432;40;414;522;471;528;1340.8;1152.4;1245.8;1070.0;188.4;175.8;Amelia Rajecki;Amelia Rajecki;True;True;True
Day+1;WTA;Jingshan (China) - Qualification;hard;05:00;Kristiana Sidorova;Meiqi Guo;408;638;230;415;456;366;462;1339.9;1295.7;1338.3;1251.4;44.2;86.9;Kristiana Sidorova;Kristiana Sidorova;True;True;True
Day+1;WTA;Jingshan (China) - Qualification;hard;05:00;Jiaqi Wang;Wushuang Zheng;398;488;90;481;433;468;408;1261.6;1319.7;1246.8;1308.2;58.1;61.4;Jiaqi Wang;Wushuang Zheng;True;True;True
Day+1;ATP;Chengdu (China);hard;07:00;Jenson Brooksby;Nikoloz Basilashvili;77;145;68;99;190;93;189;1712.0;1582.5;1675.2;1540.5;129.5;134.7;Jenson Brooksby;Jenson Brooksby;True;True;True
Day+1;ATP;Hangzhou (China);hard;07:30;Fabian Marozsan;Kyrian Jacquet;59;107;48;76;133;73;128;1763.4;1663.6;1719.7;1625.0;99.8;94.7;Fabian Marozsan;Fabian Marozsan;True;True;True
Day+1;ATP;Chengdu (China);hard;08:30;Alexandre Muller;Alejandro Davidovich Fokina;135;29;106;162;21;145;21;1616.2;1895.2;1593.1;1843.4;279.0;250.3;Alejandro Davidovich Fokina;Alejandro Davidovich Fokina;True;True;True
Day+1;WTA;Seoul (South Korea);hard;08:30;Maya Joint;Kimberly Birrell;99;60;39;102;103;92;84;1708.2;1707.0;1679.7;1691.7;1.2;12.0;Kimberly Birrell;Kimberly Birrell;True;True;True
Day+1;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;08:30;Yuliya Hatouka;Maria Golovina;685;418;267;;;;;;;;;;;Maria Golovina;;False;False;False
Day+1;ATP;Hangzhou (China);hard;09:00;Hugo Gaston;Andrey Rublev;97;25;72;125;28;112;27;1677.2;1879.7;1652.0;1825.1;202.5;173.1;Andrey Rublev;Andrey Rublev;True;True;True
Day+1;ATP;Chengdu (China);hard;10:00;Adrian Mannarino;Denis Shapovalov;78;50;28;134;59;122;36;1663.1;1787.8;1634.0;1785.6;124.7;151.6;Denis Shapovalov;Denis Shapovalov;True;True;True
Day+1;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;10:00;Alisa Oktiabreva;Alena Kovackova;507;400;107;205;260;163;238;1568.4;1494.4;1558.3;1464.7;74.0;93.6;Alena Kovackova;Alisa Oktiabreva;True;True;True
Day+1;WTA;W50 Plovdiv (Bulgaria);clay;10:00;Elizara Yaneva;Ane Mintegi Del Olmo;153;264;111;218;320;203;292;1553.3;1428.9;1498.9;1396.9;124.4;102.0;Elizara Yaneva;Elizara Yaneva;True;True;True
Day+1;ATP;Hangzhou (China);hard;10:30;Roman Safiullin;Bu Yunchaokete;102;111;9;61;119;76;114;1785.8;1685.3;1714.7;1645.1;100.5;69.6;Roman Safiullin;Roman Safiullin;True;True;True
