FlashscoreName;Tour
FRO;ATP
Partal M. M.;ATP
Popa D.;ATP
Hong S. C.;ATP
Chin J.;ATP
Drenser-Hagmann K.;WTA
Manuel J.;ATP
Popovic M.;WTA
Dias B.;WTA
Semenistaja M.;WTA
Haddad I.;WTA
Brady C.;ATP
Han Seon Yong;ATP
Lin Hao Yu;ATP
Gao Z.;ATP
Dong Z.;ATP
Cepeda Martinez N.;ATP
